hub_id,part_id
H001,P0001
H001,P0002
H001,P0004
H001,P0005
H001,P0006
H001,P0007
H001,P0008
H001,P0009
H001,P0010
H001,P0011
H001,P0012
H001,P0015
H001,P0016
H001,P0017
H001,P0018
H001,P0019
H001,P0021
H001,P0023
H001,P0026
H001,P0028
H001,P0029
H001,P0031
H001,P0032
H001,P0033
H001,P0034
H001,P0039
H001,P0040
H001,P0041
H001,P0042
H001,P0043
H001,P0044
H001,P0045
H001,P0046
H001,P0047
H001,P0048
H001,P0049
H001,P0052
H001,P0053
H001,P0054
H001,P0055
H001,P0056
H001,P0057
H001,P0059
H001,P0060
H001,P0061
H001,P0063
H001,P0064
H001,P0065
H001,P0066
H001,P0067
H001,P0068
H001,P0071
H001,P0072
H001,P0073
H001,P0074
H001,P0075
H001,P0077
H001,P0078
H001,P0079
H001,P0080
H001,P0081
H001,P0083
H001,P0086
H001,P0088
H001,P0089
H001,P0090
H001,P0091
H001,P0092
H001,P0093
H001,P0095
H001,P0096
H001,P0097
H001,P0098
H001,P0099
H001,P0100
H001,P0101
H001,P0102
H001,P0103
H001,P0104
H001,P0105
H001,P0106
H001,P0107
H001,P0108
H001,P0109
H001,P0112
H001,P0113
H001,P0114
H001,P0116
H001,P0117
H001,P0118
H001,P0119
H001,P0121
H001,P0122
H001,P0123
H001,P0124
H001,P0126
H001,P0127
H001,P0128
H001,P0129
H001,P0130
H001,P0131
H001,P0132
H001,P0133
H001,P0135
H001,P0136
H001,P0138
H001,P0139
H001,P0141
H001,P0142
H001,P0144
H001,P0145
H001,P0146
H001,P0147
H001,P0148
H001,P0149
H001,P0150
H002,P0001
H002,P0002
H002,P0004
H002,P0005
H002,P0006
H002,P0007
H002,P0008
H002,P0009
H002,P0010
H002,P0011
H002,P0013
H002,P0014
H002,P0015
H002,P0016
H002,P0017
H002,P0018
H002,P0019
H002,P0020
H002,P0021
H002,P0023
H002,P0024
H002,P0025
H002,P0026
H002,P0028
H002,P0029
H002,P0032
H002,P0033
H002,P0034
H002,P0035
H002,P0036
H002,P0037
H002,P0038
H002,P0039
H002,P0040
H002,P0041
H002,P0042
