hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H001,P0001,99.72,1,0.0
H001,P0002,140.2,1,0.0
H001,P0004,283.95,1,0.0
H001,P0005,146.78,1,0.0
H001,P0006,290.3,1,0.0
H001,P0007,27.57,1,0.0
H001,P0008,172.66,1,0.0
H001,P0009,65.53,1,0.0
H001,P0010,263.83,1,0.0
H001,P0011,156.83,1,0.0
H001,P0012,637.61,1,0.0
H001,P0015,204.33,1,0.0
H001,P0016,299.48,1,0.0
H001,P0017,116.37,1,0.0
H001,P0018,50.99,1,0.0
H001,P0019,64.09,1,0.0
H001,P0021,697.58,1,0.0
H001,P0023,301.02,1,0.0
H001,P0026,100.91,1,0.0
H001,P0028,501.02,1,0.0
H001,P0029,1020.29,1,0.0
H001,P0031,59.3,1,0.0
H001,P0032,65.82,1,0.0
H001,P0033,207.16,1,0.0
H001,P0034,129.87,1,0.0
H001,P0039,397.82,1,0.0
H001,P0040,110.09,1,0.0
H001,P0041,562.7,1,0.0
H001,P0042,348.91,1,0.0
H001,P0043,313.19,1,0.0
H001,P0044,195.12,1,0.0
H001,P0045,46.29,1,0.0
H001,P0046,319.41,1,0.0
H001,P0047,469.95,1,0.0
H001,P0048,122.16,1,0.0
H001,P0049,43.11,1,0.0
H001,P0052,51.26,1,0.0
H001,P0053,660.6,1,0.0
H001,P0054,160.58,1,0.0
H001,P0055,382.59,1,0.0
H001,P0056,73.58,1,0.0
H001,P0057,333.06,1,0.0
H001,P0059,356.75,1,0.0
H001,P0060,77.35,1,0.0
H001,P0061,120.2,1,0.0
H001,P0063,34.84,1,0.0
H001,P0064,47.92,1,0.0
H001,P0065,122.17,1,0.0
H001,P0066,95.98,1,0.0
H001,P0067,60.5,1,0.0
H001,P0068,69.06,1,0.0
H001,P0071,298.25,1,0.0
H001,P0072,216.03,1,0.0
H001,P0073,146.95,1,0.0
H001,P0074,350.41,1,0.0
H001,P0075,143.76,1,0.0
H001,P0077,169.72,1,0.0
H001,P0078,272.4,1,0.0
H001,P0079,64.99,1,0.0
H001,P0080,108.05,1,0.0
H001,P0081,53.19,1,0.0
H001,P0083,113.21,1,0.0
H001,P0086,145.38,1,0.0
H001,P0088,990.33,1,0.0
H001,P0089,16.87,1,0.0
H001,P0090,209.99,1,0.0
H001,P0091,34.79,1,0.0
H001,P0092,67.67,1,0.0
H001,P0093,237.86,1,0.0
H001,P0095,1132.53,1,0.0
H001,P0096,98.57,1,0.0
H001,P0097,246.93,1,0.0
H001,P0098,257.58,1,0.0
H001,P0099,336.12,1,0.0
H001,P0100,97.39,1,0.0
H001,P0101,389.19,1,0.0
H001,P0102,44.94,1,0.0
H001,P0103,79.45,1,0.0
H001,P0104,139.0,1,0.0
H001,P0105,294.87,1,0.0
H001,P0106,89.56,1,0.0
H001,P0107,201.05,1,0.0
H001,P0108,846.95,1,0.0
H001,P0109,48.91,1,0.0
H001,P0112,14.21,1,0.0
H001,P0113,41.69,1,0.0
H001,P0114,99.65,1,0.0
H001,P0116,40.19,1,0.0
H001,P0117,102.98,1,0.0
H001,P0118,182.54,1,0.0
H001,P0119,182.68,1,0.0
H001,P0121,157.56,1,0.0
H001,P0122,536.06,1,0.0
H001,P0123,45.59,1,0.0
H001,P0124,437.86,1,0.0
H001,P0126,213.84,1,0.0
H001,P0127,504.94,1,0.0
H001,P0128,82.3,1,0.0
H001,P0129,336.37,1,0.0
H001,P0130,332.83,1,0.0
H001,P0131,39.84,1,0.0
H001,P0132,97.98,1,0.0
H001,P0133,43.75,1,0.0
H001,P0135,59.81,1,0.0
H001,P0138,290.71,1,0.0
H001,P0139,254.81,1,0.0
H001,P0141,302.1,1,0.0
H001,P0142,63.49,1,0.0
H001,P0144,156.51,1,0.0
H001,P0145,206.14,1,0.0
H001,P0146,104.3,1,0.0
H001,P0147,107.95,1,0.0
H001,P0148,139.92,1,0.0
H001,P0149,335.01,1,0.0
H001,P0150,61.47,1,0.0
H002,P0001,99.72,1,0.0
H002,P0002,140.2,1,0.0
H002,P0004,283.95,1,0.0
H002,P0005,146.78,1,0.0
H002,P0006,290.3,1,0.0
H002,P0007,27.57,1,0.0
H002,P0008,172.66,1,0.0
H002,P0009,65.53,1,0.0
H002,P0010,263.83,1,0.0
H002,P0011,156.83,1,0.0
H002,P0013,173.67,1,0.0
H002,P0015,204.33,1,0.0
